criteria_prescribing_txt_id,parameter_prescribing_txt_id,pt_position,schedule_code
"16996","11645","2","3834"
"16996","10280","3","3834"
"16996","16995","4","3834"
"17077","17076","1","3834"
"17079","11668","1","3834"
"17079","17078","2","3834"
"17179","17178","1","3834"
"17181","17180","1","3834"
"17181","17172","2","3834"
"17223","17221","1","3834"
"17223","17222","2","3834"
"17229","17224","1","3834"
"17229","17225","2","3834"
"17229","17226","3","3834"
"17229","17227","4","3834"
"17229","17228","5","3834"
"17237","17232","1","3834"
"17237","17233","2","3834"
"17237","17234","3","3834"
"17237","17235","4","3834"
"17237","17236","5","3834"
"17273","17268","1","3834"
"17273","17269","2","3834"
"17273","17270","3","3834"
"17273","17271","4","3834"
"17273","17272","5","3834"
"17278","17268","1","3834"
"17278","17269","2","3834"
"17278","17270","3","3834"
"17278","17271","4","3834"
"17278","17277","5","3834"
"17307","17302","1","3834"
"17307","17303","2","3834"
"17307","17304","3","3834"
"17307","17305","4","3834"
"17307","17306","5","3834"
"17319","17318","1","3834"
"17321","17320","1","3834"
"17325","17324","1","3834"
"17327","17326","1","3834"
"17329","17328","1","3834"
"17345","16614","1","3834"
"17345","16347","2","3834"
"17345","16349","3","3834"
"17345","16351","4","3834"
"17421","17420","1","3834"
"17431","17430","1","3834"
"17434","17427","1","3834"
"17434","17428","2","3834"
"17498","17497","1","3834"
"17542","17541","1","3834"
"17550","17549","1","3834"
"17571","17570","1","3834"
"17583","17582","1","3834"
"17597","17596","1","3834"
"17604","17603","1","3834"
"17606","17605","1","3834"
"17608","17607","1","3834"
"17610","17609","1","3834"
"17614","17613","1","3834"
"17616","17615","1","3834"
"17618","17617","1","3834"
"17620","17619","1","3834"
"17622","17621","1","3834"
"17630","17629","1","3834"
"17632","17631","1","3834"
"17636","17635","1","3834"
"17643","17642","1","3834"
"17662","17661","1","3834"
"17664","17663","1","3834"
"17695","17694","1","3834"
"17702","21191","1","3834"
"17707","12144","1","3834"
"17707","17585","2","3834"
"17715","17714","1","3834"
"17719","17718","1","3834"
"17732","17731","1","3834"
"17751","17750","1","3834"
"17755","17754","1","3834"
"17775","17774","1","3834"
"17866","17864","1","3834"
"17866","17865","2","3834"
"17866","16778","3","3834"
"17897","17896","1","3834"
"18008","18007","1","3834"
"18011","18010","1","3834"
"18018","18017","1","3834"
"18020","18019","1","3834"
"18066","18065","1","3834"
"18085","18084","1","3834"
"18097","18096","1","3834"
"18099","18098","1","3834"
"18108","18106","1","3834"
"18108","18107","2","3834"
"18130","18129","1","3834"
"18132","18131","1","3834"
"18135","18069","1","3834"
"18170","18169","1","3834"
"18202","18201","1","3834"
"18209","18100","1","3834"
"18209","18208","2","3834"
"18209","18103","3","3834"
"18278","18277","1","3834"
"18289","18288","1","3834"
"18320","18319","1","3834"
"18322","18321","1","3834"
"18330","18329","1","3834"
"18333","18332","1","3834"
"18335","18334","1","3834"
"18390","18389","1","3834"
"18392","18391","1","3834"
"18394","18393","1","3834"
"18397","18396","1","3834"
"18404","18403","1","3834"
"18414","18413","1","3834"
"18426","18425","1","3834"
"18428","18427","1","3834"
"18433","18432","1","3834"
"18435","18434","1","3834"
"18437","18436","1","3834"
"18441","18440","1","3834"
"18452","18451","1","3834"
"18454","18453","1","3834"
"18456","18455","1","3834"
"18458","18457","1","3834"
"18461","18460","1","3834"
"18478","18477","1","3834"
"18487","18485","1","3834"
"18487","18486","2","3834"
"18496","16707","1","3834"
"18498","16709","1","3834"
